注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
98490354,2024.06.05 11:00:00,buy,0.14,USDJPY,156.147,155.442,0,2024.06.06 04:17:00,155.44,0,0,0,-9898,20240512,STR01_USDJPY_H1[sl]
98491633,2024.06.05 12:00:00,buy,0.16,USDJPY,156.233,155.534,0,2024.06.06 04:03:17,155.531,0,0,0,-11232,20240512,STR01_USDJPY_H1[sl]
98499556,2024.06.05 10:00:01,buy,0.1,USDJPY,155.901,155.974,0,2024.06.06 00:10:36,155.974,0,0,0,730,20240512,from #98488945[sl]
98501404,2024.06.05 18:00:00,buy,0.18,USDJPY,156.314,155.698,0,2024.06.06 03:43:15,155.697,0,0,0,-11106,20240512,STR01_USDJPY_H1[sl]
98512844,2024.06.06 00:02:07,balance,0.01,,0,0,0,2024.06.06 00:02:07,0,0,0,0,882,,RO 98490354 B 0.14 USDJPY
98512845,2024.06.06 00:02:07,balance,0.01,,0,0,0,2024.06.06 00:02:07,0,0,0,0,1008,,RO 98491633 B 0.16 USDJPY
98512846,2024.06.06 00:02:07,balance,0.01,,0,0,0,2024.06.06 00:02:07,0,0,0,0,630,,RO 98499556 B 0.10 USDJPY
98512847,2024.06.06 00:02:07,balance,0.01,,0,0,0,2024.06.06 00:02:07,0,0,0,0,1134,,RO 98501404 B 0.18 USDJPY
98611753,2024.06.07 10:00:00,sell,0.22,USDJPY,155.353,155.823,0,2024.06.07 11:28:12,155.344,0,0,0,198,20240512,STR01_USDJPY_H1
98624683,2024.06.07 17:00:00,buy,0.06,USDJPY,156.965,155.333,0,2024.06.12 06:00:00,157.182,0,0,0,1302,20240512,STR01_USDJPY_H1
98637670,2024.06.08 00:01:46,balance,0.01,,0,0,0,2024.06.08 00:01:46,0,0,0,0,126,,RO 98624683 B 0.06 USDJPY
98669463,2024.06.10 07:00:00,buy,0.24,USDJPY,157.154,156.719,0,2024.06.12 06:00:02,157.18,0,0,0,624,20240512,STR01_USDJPY_H1
98692372,2024.06.11 00:02:10,balance,0.01,,0,0,0,2024.06.11 00:02:10,0,0,0,0,126,,RO 98624683 B 0.06 USDJPY
98692373,2024.06.11 00:02:10,balance,0.01,,0,0,0,2024.06.11 00:02:10,0,0,0,0,504,,RO 98669463 B 0.24 USDJPY
98723113,2024.06.11 04:00:00,buy,0.32,USDJPY,157.219,156.892,0,2024.06.11 15:33:33,156.892,0,0,0,-10464,20240512,STR01_USDJPY_H1[sl]
98725021,2024.06.11 06:00:00,buy,0.4,USDJPY,157.289,157.018,0,2024.06.11 15:04:01,157.018,0,0,0,-10840,20240512,STR01_USDJPY_H1[sl]
98729852,2024.06.11 11:00:00,buy,0.52,USDJPY,157.342,157.137,0,2024.06.11 11:06:53,157.325,0,0,0,-884,20240512,STR01_USDJPY_H1
98750766,2024.06.12 00:01:54,balance,0.01,,0,0,0,2024.06.12 00:01:54,0,0,0,0,151,,RO 98624683 B 0.06 USDJPY
98750767,2024.06.12 00:01:54,balance,0.01,,0,0,0,2024.06.12 00:01:54,0,0,0,0,604,,RO 98669463 B 0.24 USDJPY
98914566,2024.06.14 07:00:01,buy,0.1,USDJPY,157.813,156.8,0,2024.06.21 01:39:14,158.919,0,0,0,11060,20240512,STR01_USDJPY_H1
98917652,2024.06.14 09:00:00,buy,0.08,USDJPY,158.152,156.8,0,2024.06.21 01:39:23,158.919,0,0,0,6136,20240512,STR01_USDJPY_H1
98949344,2024.06.15 00:01:49,balance,0.01,,0,0,0,2024.06.15 00:01:49,0,0,0,0,504,,RO 98914566 B 0.10 USDJPY
98949345,2024.06.15 00:01:49,balance,0.01,,0,0,0,2024.06.15 00:01:49,0,0,0,0,403,,RO 98917652 B 0.08 USDJPY
99034841,2024.06.19 00:02:05,balance,0.01,,0,0,0,2024.06.19 00:02:05,0,0,0,0,252,,RO 98914566 B 0.10 USDJPY
99034842,2024.06.19 00:02:05,balance,0.01,,0,0,0,2024.06.19 00:02:05,0,0,0,0,201,,RO 98917652 B 0.08 USDJPY
